timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
340088752,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
341091727,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
342097506,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
343105506,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
344107839,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
345116285,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
346116493,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
347125013,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
348134162,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
349145952,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
350153613,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
351162589,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
352170365,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
353170453,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
354178791,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
355187006,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
356195934,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
357206813,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
358214732,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
358759989,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
359764693,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
360772469,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
361775939,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
362776378,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
363785432,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
364792807,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
365800699,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
366809338,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
367817461,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
368825251,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
369838412,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
370846434,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
371846871,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
372854731,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
373862905,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
374866995,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
375875593,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
376883141,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
377891029,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
378899781,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
379900710,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
380911909,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
381912618,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
382921246,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
383929261,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
384940488,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
385941450,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
386949675,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
387956450,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
388965186,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
389965338,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
390978007,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
391986075,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
392990114,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
393998407,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
395005973,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
396014194,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
397022408,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
398027433,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
399035991,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
400043007,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
401050886,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
402058800,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
403063633,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
403532457,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
404535786,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
405543820,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
406548630,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
407556799,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
408568366,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
409413174,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
410420937,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
411428505,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
412437612,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
413441193,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
414449606,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
415456976,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
416458151,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
417466183,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
418475097,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
419475110,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
420483337,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
421491165,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
422498917,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
423506971,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
424514884,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
425522879,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
426527773,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
427257176,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
428264645,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
429273435,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
430274238,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
431280537,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
432284773,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
433292721,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
434296748,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
435298226,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
436309591,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
437317572,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
438325713,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
439333494,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
440342110,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
441351631,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
442358276,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
443363791,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
444371174,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
445378758,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
446379064,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
447391694,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
448392583,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
449399751,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
450408218,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
451408380,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
452413326,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
453137569,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
454140972,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
455148665,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
456161017,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
457161597,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
458169907,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
459149294,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
460158208,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
461166824,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
462174961,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
463182165,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
464188542,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
465198719,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
466198839,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
467199091,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
468208558,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
469215758,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
470223592,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
471228115,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
472230111,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
473237540,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
474245123,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
475256428,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
476257960,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
478275003,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
479281736,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
480291059,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
481302168,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
482314552,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
483322242,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
484326831,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
485334831,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
486339229,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
487339356,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
488339634,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
489343919,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
490348023,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
491359932,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
492361145,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
493368933,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
494374049,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
495382782,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
496393646,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
497394065,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
498394166,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
499406347,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
500414294,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
501414526,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
502418415,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
503426571,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
503919542,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
506936203,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
507939904,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
508827795,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
509828496,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
510836601,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
511845417,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
512853597,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
513862031,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
514869395,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
515869543,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
516870596,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
517870923,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
518882213,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
519891812,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
520899862,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
521912151,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
522919926,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
523919964,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
524932455,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
525937526,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
526940612,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
527948625,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
528957335,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
529957456,3080239,2162703,3080239,3,2,0,0,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0
